service,path,classes
task-management,dristi-services/task-management/src/main/java/digit/service/PaymentUpdateService.java,Producer
task-management,dristi-services/task-management/src/main/java/digit/service/SmsNotificationService.java,Producer
task-management,dristi-services/task-management/src/test/java/digit/service/TaskManagementServiceTest.java,Producer
Notification,dristi-services/Notification/src/main/java/notification/service/NotificationService.java,Producer
Notification,dristi-services/Notification/src/test/java/notification/service/NotificationServiceTest.java,Producer
advocate,dristi-services/advocate/src/main/java/org/pucar/dristi/service/AdvocateService.java,Producer
advocate,dristi-services/advocate/src/main/java/org/pucar/dristi/service/SmsNotificationService.java,Producer
advocate,dristi-services/advocate/src/main/java/org/pucar/dristi/service/AdvocateClerkService.java,Producer
advocate,dristi-services/advocate/src/test/java/org/pucar/dristi/service/AdvocateClerkServiceTest.java,Producer
advocate,dristi-services/advocate/src/test/java/org/pucar/dristi/service/AdvocateServiceTest.java,Producer
analytics,dristi-services/analytics/src/main/java/org/pucar/dristi/service/SmsNotificationService.java,Producer
analytics,dristi-services/analytics/src/main/java/org/pucar/dristi/util/TaskManagementUtil.java,Producer
analytics,dristi-services/analytics/src/main/java/org/pucar/dristi/util/CaseOverallStatusUtil.java,Producer
analytics,dristi-services/analytics/src/test/java/org/pucar/dristi/kafka/ProducerTest.java,Producer
analytics,dristi-services/analytics/src/test/java/org/pucar/dristi/util/CaseOverallStatusUtilTest.java,Producer
epost-tracker,dristi-services/epost-tracker/src/main/java/org/pucar/dristi/service/EPostService.java,Producer
epost-tracker,dristi-services/epost-tracker/src/main/java/org/pucar/dristi/task/ScheduledTask.java,Producer
epost-tracker,dristi-services/epost-tracker/src/test/java/org/pucar/dristi/service/EPostServiceTest.java,Producer
icops_integration-kerala,integration-services/icops_integration-kerala/src/main/java/com/egov/icops_integrationkerala/service/IcopsService.java,Producer
icops_integration-kerala,integration-services/icops_integration-kerala/src/test/java/com/egov/icops_integrationkerala/service/IcopsServiceTest.java,Producer
inportal-survey,dristi-services/inportal-survey/src/main/java/digit/service/InPortalSurveyService.java,Producer
inportal-survey,dristi-services/inportal-survey/src/test/java/digit/service/InPortalSurveyServiceTest.java,Producer
payment-calculator-svc,dristi-services/payment-calculator-svc/src/main/java/drishti/payment/calculator/service/PostalHubService.java,Producer
payment-calculator-svc,dristi-services/payment-calculator-svc/src/test/java/drishti/payment/calculator/service/PostalHubServiceTest.java,Producer
sbi-backend,integration-services/sbi-backend/src/main/java/org/egov/sbi/service/PaymentService.java,Producer
template-configuration,dristi-services/template-configuration/src/main/java/org/pucar/dristi/service/TemplateConfigurationService.java,Producer
template-configuration,dristi-services/template-configuration/src/test/java/org/pucar/dristi/service/TemplateConfigurationServiceTest.java,Producer
